,delta_t,Length(m),mu,angle(rad),gravity,total_time,period_time,experiment_period_time,Difference
0,0.1,0.48,0.0,0.3490658503988659,9.80665,10.0,1.6000000000000003,1.4282,-0.1718000000000004
0,0.01,0.48,0.0,0.3490658503988659,9.80665,10.0,1.4257142857142617,1.4282,0.002485714285738183
0,0.001,0.48,0.0,0.3490658503988659,9.80665,10.0,1.402,1.4282,0.0262
0,0.0001,0.48,0.0,0.3490658503988659,9.80665,10.0,1.4008571428557837,1.4282,0.027342857144216248
0,0.1,0.48,0.1,0.3490658503988659,9.80665,10.0,1.6000000000000003,1.4282,-0.1718000000000004
0,0.01,0.48,0.1,0.3490658503988659,9.80665,10.0,1.4285714285714044,1.4282,-0.00037142857140448626
0,0.001,0.48,0.1,0.3490658503988659,9.80665,10.0,1.4028571428571424,1.4282,0.025342857142857556
0,0.0001,0.48,0.1,0.3490658503988659,9.80665,10.0,1.4017142857129243,1.4282,0.02648571428707558
0,0.1,0.48,0.2,0.3490658503988659,9.80665,10.0,1.6000000000000003,1.4282,-0.1718000000000004
0,0.01,0.48,0.2,0.3490658503988659,9.80665,10.0,1.4266666666666437,1.4282,0.001533333333356257
0,0.001,0.48,0.2,0.3490658503988659,9.80665,10.0,1.4047142857142842,1.4282,0.023485714285715664
0,0.0001,0.48,0.2,0.3490658503988659,9.80665,10.0,1.4033285714272064,1.4282,0.024871428572793564
0,0.1,0.48,0.3,0.3490658503988659,9.80665,10.0,1.6000000000000003,1.4282,-0.1718000000000004
0,0.01,0.48,0.3,0.3490658503988659,9.80665,10.0,1.4349999999999767,1.4282,-0.006799999999976825
0,0.001,0.48,0.3,0.3490658503988659,9.80665,10.0,1.4074285714285684,1.4282,0.02077142857143155
0,0.0001,0.48,0.3,0.3490658503988659,9.80665,10.0,1.405857142855772,1.4282,0.0223428571442279
0,0.1,0.48,0.4,0.3490658503988659,9.80665,10.0,1.6000000000000003,1.4282,-0.1718000000000004
0,0.01,0.48,0.4,0.3490658503988659,9.80665,10.0,1.4466666666666432,1.4282,-0.018466666666643317
0,0.001,0.48,0.4,0.3490658503988659,9.80665,10.0,1.4114285714285661,1.4282,0.016771428571433766
0,0.0001,0.48,0.4,0.3490658503988659,9.80665,10.0,1.4094714285700491,1.4282,0.01872857142995077
0,0.1,0.48,0.5,0.3490658503988659,9.80665,10.0,1.6000000000000003,1.4282,-0.1718000000000004
0,0.01,0.48,0.5,0.3490658503988659,9.80665,10.0,1.4666666666666428,1.4282,-0.03846666666664289
0,0.001,0.48,0.5,0.3490658503988659,9.80665,10.0,1.4169999999999916,1.4282,0.011200000000008314
0,0.0001,0.48,0.5,0.3490658503988659,9.80665,10.0,1.4144285714271805,1.4282,0.013771428572819433
0,0.1,0.48,0.6,0.3490658503988659,9.80665,10.0,1.6000000000000003,1.4282,-0.1718000000000004
0,0.01,0.48,0.6,0.3490658503988659,9.80665,10.0,1.4949999999999755,1.4282,-0.06679999999997555
0,0.001,0.48,0.6,0.3490658503988659,9.80665,10.0,1.424428571428559,1.4282,0.003771428571440971
0,0.0001,0.48,0.6,0.3490658503988659,9.80665,10.0,1.421071428570022,1.4282,0.007128571429977804
0,0.1,0.48,0.7,0.3490658503988659,9.80665,10.0,1.7000000000000004,1.4282,-0.2718000000000005
0,0.01,0.48,0.7,0.3490658503988659,9.80665,10.0,1.5566666666666409,1.4282,-0.12846666666664097
0,0.001,0.48,0.7,0.3490658503988659,9.80665,10.0,1.4335000000001121,1.4282,-0.005300000000112215
0,0.0001,0.48,0.7,0.3490658503988659,9.80665,10.0,1.4298333333322242,1.4282,-0.0016333333322242627
0,0.1,0.48,0.8,0.3490658503988659,9.80665,10.0,1.8000000000000005,1.4282,-0.3718000000000006
0,0.01,0.48,0.8,0.3490658503988659,9.80665,10.0,1.5599999999999756,1.4282,-0.13179999999997571
0,0.001,0.48,0.8,0.3490658503988659,9.80665,10.0,1.446500000000105,1.4282,-0.01830000000010501
0,0.0001,0.48,0.8,0.3490658503988659,9.80665,10.0,1.44156666666553,1.4282,-0.013366666665530103
